order	a_word	b_alphabet	c_meaning
1	inappropriate	英:/?n?'pr??pr??t/ 美:/'?n?'propr??t/ 	"不适当的,不相称的"
2	inadequate	英:/?n'?d?kw?t/ 美:/?n'?d?kw?t/ 	"不充分的,不适当的"
3	inaccurate	英:/?n'?kj?r?t/ 美:/?n'?kj?r?t/ 	不准确的，错误的
4	inability	英:/?n?'b?l?t?/ 美:/??n?'b?l?ti/ 	"无能,无力"
5	impulsive	英:/?m'p?ls?v/ 美:/?m'p?ls?v/ 	浮躁
6	improbable	英:/?m'pr?b?b(?)l/ 美:/?m'prɑb?bl/ 	adj. 不可信的；未必会发生的；不大可能的，未必确实的
7	imprisonable	/?m'pr?zn?bl/ 	坐牢
8	impractical	英:/?m'pr?kt?k(?)l/ 美:/?m'pr?kt?kl/ 	不切实际
9	impolite	英:/?mp?'la?t/ 美:/??mp??la?t/ 	adj. 粗鲁的；无礼的
10	impertinent	英:/?m'p??t?n?nt/ 美:/?m'p?tn?nt/ 	adj. 粗鲁的；不恰当的；不相干的；无礼的
11	immoral	英:/?'m?r(?)l/ 美:/?'m?r?l/ 	adj. 不道德的；邪恶的；淫荡的
12	immigration	英:/?m?'ɡre??n/ 美:/??m?'ɡre??n/ 	"移居, 移民"
13	immensely	/i'mensli/ 	非常
14	imam	英:/?'mɑ?m/ 美:/?'mɑm/ 	n. （伊斯兰的）阿訇；伊玛目
15	imaginatively	"/?'m?d??,net?vli/ "	想象力
16	image	英:/'?m?d?/ 美:/'?m?d?/ 	"1. n. 影像；肖像；想象；偶像
2. vt. 反映；象征；想象；作…"
17	illustrated	英:/'?l?stre?t?d/ 美:/'?l?stret/ 	插图
18	igloo	英:/'?glu?/ 美:/'?gl?/ 	n. 圆顶建筑
19	idiot	英:/'?d??t/ 美:/'?d??t/ 	n. 白痴；笨蛋，傻瓜
20	idiomatic	英:/??d??'m?t?k/ 美:/??d??'m?t?k/ 	惯用的
21	identifying		确定
22	identic	英:/a?'dent?k/ 美:/a??d?nt?k/ 	adj. 形式相同的；措辞相同的；同文的
23	identically	/ai'dentikli/ 	同一地，相等地
24	icy	英:/'a?s?/ 美:/'a?si/ 	adj. 冰冷的；结满冰的；冷淡的
25	Iceland	英:/?aisl?nd/ 美:/?a?sl?nd/ 	n. 冰岛（欧洲岛名，在大西洋北部，近北极圈）
26	Icelandic	英:/ais?l?ndik/ 美:/a?s?l?nd?k/ 	"冰岛的, 冰岛人的"
27	iceberg	英:/'a?sb??g/ 美:/'a?s'b?g/ 	n. 冰山；显露部分
28	icebox	英:/'a?sb?ks/ 美:/'a?sbɑks/ 	n. 冷藏库；冰箱
29	hysterical	英:/h?'ster?k(?)l/ 美:/h?'st?r?kl/ 	狂乱
30	hypnosis	英:/h?p'n??s?s/ 美:/h?p'nos?s/ 	n. 催眠状态；催眠
31	hype	英:/ha?p/ 美:/ha?p/ 	"1. n. 大肆宣传；皮下注射
2. vt. 大肆宣传；使…兴奋"
32	hygienically	/?hai'd?i:nik?li/ 	卫生
33	hydraulic	英:/ha?'dr??l?k/ 美:/ha?'dr?l?k/ 	"水力的, 水压的"
34	hurtful	英:/'h??tf?l/ 美:/'h?tfl/ 	adj. 造成损害的
