a_word,b_alphabet,c_meaning
cheers,英:/tʃɪəz/ 美:/tʃɪrz/ ,"1. int. 干杯
    2. n. 喝采；欢呼"
charmed,英:/tʃɑ:md/ 美:/tʃɑrmd/ ,"1. adj. 喜悦的；着迷的
    2. v. 迷住；对…行魔法；哄诱（charm的过去分词）"
charge card,,付款卡，信用卡；签帐卡
chair lift,,升降椅；架空滑车
CD player,,激光唱机；CD播放器
caught,英:/kɔːt/ 美:/kɔt/ ,v. 捕捉（catch的过去分词）
captured,,"1. adj. 被俘的；捕获的
    2. v. 捕获；占领；引起（capture的过去分词）"
canned,英:/kænd/ 美:/kænd/ ,"1. adj. 录音的；罐装的
    2. v. 装于罐头（can的过去分词）"
calves,英:/kɑːvz/ 美:/kævz/ ,n. 小牛；小腿；腓；[口]呆子（calf的复数）
cab,英:/kæb/ 美:/kæb/ ,"1. n. 出租汽车；出租马车；驾驶室
    2. vi. 乘出租马车（或汽车）"
bored,英:/bɔ:d/ 美:/bɔrd/ ,"1. adj. 无聊的；烦人的；无趣的
    2. v. 烦扰；使厌烦（bore的过去式）"
bodybuild,,健身，
blosson,,
blog,/blɔg/ ,网络随笔，日志 博客
bishop,英:/ˈbɪʃəp/ 美:/ˈbɪʃəp/ ,n. 主教
bikini,英:/biˈki:ni/ 美:/bɪˈkini/ ,n. 比基尼泳装；大爆炸
bib,英:/bɪb/ 美:/bɪb/ ,"1. n. 围嘴，围涎；围裙的上部
    2. vi. 饮酒，不断地饮酒"
bewildered,,
Bach,英:/bætʃ/ 美:/bɑk/ ,n. 巴赫（德国作曲家）
ballpiont,,
B.A,,
Resistac,,瑞西斯达克铜铝合金
ate,英:/et/ 美:/ɛt/ ,v. 吃（eat的过去式）
arms,/a:mz/ ,"1. n. 武器；纹章；臂（arm的复数）
    2. v. 武装；配备（arm的三单形式）"
armed,英:/ɑːmd/ 美:/ɑrmd/ ,adj. 武装的；有扶手的；有防卫器官的（指动物）
are,英:/ɑː/ 美:/ɚ/ ,"1. v. 是（be的第二人称单复数现在式）
    2. n. 公亩"
APP,英:/æp/ 美:/æp/ ,abbr. 穿甲试验（Armor Piercing Proof）；应用（Application）
amp,英:/ˌeɪemˈpi:/ 美:/ˌeemˈpi/ ,"1. abbr. 安培（ampere，电流强度的单位）；放大器（amplifier）
    2. n. [俚]电吉他"
am,英:/强 æm/ 美:/æm/ ,"1. abbr. 调幅
    2. v. 是"
AIDS,/edz/ ,abbr. 获得性免疫缺乏综合症；爱滋病（Acquired Immure Deficiency Syndrome）
adverd,,
accommodatometer,,调节计
absord,,
boar,英:/bɔː/ 美:/bɔr/ ,n. 野猪；（未阉的）公猪
be,英:/biː/ 美:/bi/ ,prep. 在，存在；是
board,英:/bɔːd/ 美:/bɔrd/ ,"1. n. 木板；甲板；膳食；董事会
    2. vt. 用板盖上；上（飞机、车、船等）；给提供膳宿"
bra,英:/brɑː/ 美:/brɑ/ ,n. 胸罩
black,英:/blæk/ 美:/blæk/ ,黑色
beach,英:/biːtʃ/ 美:/bitʃ/ ,"1. n. 海滩；湖滨
    2. vt. 将…拖上岸"
ad,/əd/ ,广告
a,英:/ə/ 美:/e/ ,a   a<br /><br />一
boast,英:/bəʊst/ 美:/bost/ ,"1. vt. 以有…而自豪；夸口说，自吹自擂说
    2. n. 自夸；值得夸耀的事物，引以为荣的事物"
brag,英:/bræg/ 美:/bræɡ/ ,"1. n. 吹牛，自夸
    2. vi. 吹牛，自夸"
boat,英:/bəʊt/ 美:/bot/ ,"1. n. 小船；轮船
    2. vi. 划船"
beak,英:/biːk/ 美:/bik/ ,n. 鸟嘴；鹰钩鼻子；地方执法官；男教师
braid,英:/breɪd/ 美:/bred/ ,"1. vt. 编织
    2. n. 辫子；穗带；发辫"
Braille,英:/breil/ 美:/brel/ ,"1. vt. 用盲字印
    2. n. 布莱叶（法国盲人教育家）；盲人用点字法"
beam,英:/biːm/ 美:/bim/ ,"1. n. 横梁；船宽；电波；光线；秤杆
    2. vt. 以梁支撑；用…照射；流露；发送"
buckle,英:/ˈbʌkl/ 美:/ˈbʌkəl/ ,"1. vi. 扣住；变弯曲
    2. vt. 扣住；使弯曲"
black hole,,黑洞
bean,英:/biːn/ 美:/bin/ ,"1. n. 豆；[动]嘴峰；[美口]毫无价值的东西
    2. vt. [美口]击…的头部"
bob,英:/bɒb/ 美:/bɑb/ ,"1. n. 短发；浮子；摆动；轻敲；悬挂的饰品
    2. vt. 剪短；敲击；使上下快速摆动"
bear,英:/beə/ 美:/bɛr/ ,"1. vi. 结果实；承受
    2. vt. 忍受；具有；支撑"
bud,英:/bʌd/ 美:/bʌd/ ,"1. n. 芽，萌芽；蓓蕾
    2. vi. 发芽，萌芽"
budge,英:/bʌdʒ/ 美:/bʌdʒ/ ,"1. vi. 挪动；微微移动；改变态度或意见；服从
    2. vt. 移动；使改变态度或意见；使让步"
brake,英:/breɪk/ 美:/brek/ ,"1. vi. 刹车
    2. n. 闸，刹车；阻碍"
beard,英:/bɪəd/ 美:/bɪrd/ ,"1. vt. 公然反对；抓…的胡须
    2. n. 胡须；颌毛"
back,英:/bæk/ 美:/bæk/ ,"1. n. 背部；后面；靠背；足球等的后卫；书报等的末尾
    2. vt. 支持；后退；下赌注；背书"
beast,英:/biːst/ 美:/bist/ ,n. 野兽；畜生，人面兽心的人
buffalo,英:/ˈbʌfələu/ 美:/ˈbʌfəˌlo/ ,n. 水牛；野牛（产于北美）；水陆两用坦克
beat,英:/biːt/ 美:/bit/ ,"1. vt. 打；打败
    2. vi. 打；打败；拍打；有节奏地舒张与收缩"
branch,英:/brɑːn(t)ʃ/ 美:/bræntʃ/ ,"1. vt. 分支；出现分歧
    2. vi. 分支；出现分歧"
brand,英:/brænd/ 美:/brænd/ ,"1. vt. 打烙印于；印…商标于；铭刻于，铭记
    2. n. 商标，牌子；烙印"
abbey,英:/ˈæbi/ 美:/ˈæbi/ ,n. 大修道院，大寺院；修道院中全体修士或修女
bug,英:/bʌg/ 美:/bʌɡ/ ,"1. n. 臭虫，小虫；窃听器；故障
    2. vt. 烦扰，打扰；装窃听器"
brass,英:/brɑːs/ 美:/bræs/ ,n. 黄铜；黄铜制品；厚脸皮；铜管乐器
blade,英:/bleɪd/ 美:/bled/ ,n. 刀片，刀锋；叶片；剑
build,英:/bɪld/ 美:/bɪld/ ,"1. vt. 建筑；建立
    2. vi. 建筑；建造"
built,英:/bɪlt/ 美:/bɪlt/ ,"1. v. 建造（build的过去分词）
    2. adj. 身段优美的；…建成的"
blame,英:/bleɪm/ 美:/blem/ ,"1. vt. 责备；归咎于
    2. n. 责备；过失；责任"
bulb,英:/bʌlb/ 美:/bʌlb/ ,"1. n. 电灯泡；球状物；[植]鳞茎
    2. vi. 生球茎；膨胀成球状"
bland,英:/blænd/ 美:/blænd/ ,"1. adj. 乏味的；冷漠的；温和的
    2. vt. 使…变得淡而无味；除掉…的特性"
boil,英:/bɒɪl/ 美:/bɔɪl/ ,"1. vi. 煮沸，沸腾；激动，激昂
    2. vt. 煮沸，烧开；使…激动；使…蒸发"
bulge,英:/bʌldʒ/ 美:/bʌldʒ/ ,"1. n. 胀；膨胀；凸出部分
    2. vt. 使膨胀；使凸起"
brave,英:/breɪv/ 美:/brev/ ,"1. adj. 勇敢的；华丽的
    2. vt. 勇敢地面对"
blank,英:/blæŋk/ 美:/blæŋk/ ,"1. adj. 空白的；空虚的；单调的
    2. n. 空白；空白表格；空虚"
bull,英:/bʊl/ 美:/bʊl/ ,"1. n. 公牛；看好股市者；粗壮如牛的人；[俚]胡说八道；印玺
    2. adj. 公牛似的；雄性的；大型的"
bold,英:/bəʊld/ 美:/bold/ ,adj. 大胆的，英勇的；厚颜无耻的；险峻的；黑体的
bed,英:/bed/ 美:/bɛd/ ,"1. n. 床；基础；河底， 海底
    2. vt. 使睡觉；安置，嵌入；栽种"
blast,英:/blɑːst/ 美:/blæst/ ,"1. n. 爆炸；冲击波；一阵
    2. vi. 猛攻"
bread,英:/bred/ 美:/brɛd/ ,"1. n. 生计；面包
    2. vt. 在…上洒面包屑"
bacon,英:/ˈbeɪkən/ 美:/ˈbekən/ ,n. 熏猪肉；咸肉；腌肉
bolt,英:/bəʊlt/ 美:/bolt/ ,"1. n. 闪电；螺栓；门闩；弩箭
    2. vt. 囫囵吞下；上门闩"
blaze,英:/bleɪz/ 美:/blez/ ,"1. vt. 在树皮上刻路标；公开宣布
    2. n. 火焰，烈火；光辉；情感爆发"
bad,英:/bæd/ 美:/bæd/ ,"1. adj. 坏的；严重的；劣质的
    2. n. 坏人；坏事"
break,英:/breɪk/ 美:/brek/ ,"1. n. 休息，中断；破裂处
    2. vt. 打破，弄破；中断；弄坏；削弱"
bum,英:/bʌm/ 美:/bʌm/ ,"1. n. 流浪汉；狂欢作乐；能力差的人；嗡嗡声；屁股；[贬]执达员（等于bumbailiff）
    2. vi. 流浪；靠乞讨过活；发嗡嗡声"
bleak,英:/bliːk/ 美:/blik/ ,adj. 荒凉的，无遮蔽的；阴冷的；黯淡的，无希望的；冷酷的；单调的
badge,英:/bædʒ/ 美:/bædʒ/ ,"1. n. 徽章；标记；证章
    2. vt. 授给…徽章"
bee,英:/biː/ 美:/bi/ ,n. 蜜蜂，蜂；勤劳的人
bump,英:/bʌmp/ 美:/bʌmp/ ,"1. n. 肿块，隆起物；撞击
    2. vi. 碰撞，撞击；颠簸而行"
bleed,英:/bliːd/ 美:/blid/ ,"1. vt. 使出血；榨取
    2. vi. 流血；渗出；悲痛"
beef,英:/biːf/ 美:/bif/ ,"1. n. 牛肉；食用牛；肌肉；牢骚
    2. vi. 抱怨，告发；发牢骚"
bag,英:/bæg/ 美:/bæɡ/ ,"1. n. 袋；猎获物；（俚）一瓶啤酒
    2. vt. 猎获；把…装入袋中；[口]占据，私吞；使膨大"
bone,英:/bəʊn/ 美:/bon/ ,"1. n. 骨；骨骼；香烟；一首歌
    2. vt. 剔去...的骨；施骨肥于"
blend,英:/blend/ 美:/blɛnd/ ,"1. vt. 混合
    2. vi. 混合；协调"
bun,英:/bʌn/ 美:/bʌn/ ,n. 小圆面包
